ModelName, VocabSize, CorrectLabel, WordNotGuessed, Accuracy 
word2vec-google-news-300,3000000,70,79,0.8860759493670886
word2vec-wiki-gigaword-300,400000,71,80,0.8875
FastText-wiki-300,999999,73,80,0.9125
word2vec-glove-twitter-100,1193514,39,75,0.52
glove-twitter-25,1193514,37,75,0.49333333333333335
my_own_corpus-E25-W5,118377,12,47,0.2553191489361702
my_own_corpus-E25-W10,118377,9,47,0.19148936170212766
my_own_corpus-E100-W5,118377,14,47,0.2978723404255319
my_own_corpus-E100-W10,118377,12,47,0.2553191489361702

